,Cost
0,2.3045127590616277
4,2.266067777588155
8,2.228886386691873
12,2.1928564756954803
16,2.1578925810218452
20,2.1239284075385796
24,2.0909114729023024
28,2.058799245751351
32,2.0275563522297038
36,1.9971525548055702
40,1.9675612929971322
44,1.9387586341884533
48,1.910722523861555
52,1.8834322540759996
56,1.8568680905068247
60,1.8310110141444678
64,1.8058425454363096
68,1.7813446272982925
72,1.757499549825451
76,1.7342899042523523
80,1.711698557183041
84,1.689708638644646
88,1.6683035393608336
92,1.6474669139728753
96,1.6271826878942612
100,1.6074350661715417
104,1.5882085432150401
108,1.5694879126135997
112,1.551258276497834
116,1.5335050540954358
120,1.5162139892505508
124,1.4993711567718024
128,1.4829629675404266
132,1.4669761723584998
136,1.4513978645523593
140,1.4362154813716448
144,1.4214168042423614
148,1.4069899579448173
152,1.3929234087954363
156,1.3792059619163088
160,1.3658267576785932
164,1.352775267406087
168,1.340041288423949
172,1.3276149385349187
176,1.3154866500019105
180,1.3036471631116406
184,1.2920875193893275
188,1.280799054529542
192,1.2697733911032363
196,1.2590024310958359
200,1.2484783483262623
204,1.2381935807918294
208,1.2281408229792452
212,1.2183130181774722
216,1.208703350823975
220,1.1993052389119512
224,1.1901123264824676
228,1.1811184762220968
232,1.1723177621835297
236,1.1637044626438704
240,1.1552730531127722
244,1.1470181995002937
248,1.13893475145232
252,1.1310177358595634
256,1.1232623505445543
260,1.1156639581296064
264,1.1082180800874966
268,1.1009203909754963
272,1.0937667128524746
276,1.0867530098779494
280,1.07987538309129
284,1.0731300653686677
288,1.0665134165548715
292,1.060021918766678
296,1.053652171864138
300,1.047400889085869
304,1.0412648928442267
308,1.035241110676068
312,1.0293265713447053
316,1.0235184010885632
320,1.0178138200120168
324,1.0122101386138609
328,1.0067047544488827
332,1.0012951489180288
336,0.9959788841827139
340,0.9907536001988804
344,0.9856170118664884
348,0.9805669062902138
352,0.9756011401472128
356,0.9707176371579258
360,0.9659143856559903
364,0.961189436253449
368,0.9565408995975473
372,0.9519669442155345
376,0.9474657944439954
380,0.9430357284393496
384,0.9386750762662859
388,0.9343822180609944
392,0.9301555822661854
396,0.9259936439349876
400,0.9218949231009342
404,0.9178579832113378
408,0.913881429621479
412,0.9099639081471124
416,0.906104103672911
420,0.9023007388145529
424,0.8985525726322495
428,0.8948583993936081
432,0.8912170473838036
436,0.8876273777611137
440,0.884088283455965
444,0.8805986881116983
448,0.8771575450653504
452,0.8737638363668113
456,0.8704165718347904
460,0.8671147881480872
464,0.8638575479707299
468,0.8606439391096039
472,0.8574730737032483
476,0.8543440874405596
480,0.8512561388081917
484,0.8482084083654957
488,0.8452000980458879
492,0.8422304304835863
496,0.8392986483646997
500,0.8364040138016949
504,0.8335458077303096
508,0.8307233293280227
512,0.8279358954532215
516,0.8251828401042565
520,0.8224635138975903
524,0.8197772835642985
528,0.8171235314642029
532,0.8145016551169438
536,0.8119110667493387
540,0.8093511928583915
544,0.8068214737893525
548,0.8043213633282416
552,0.8018503283082866
556,0.7994078482297435
560,0.7969934148925841
564,0.7946065320415667
568,0.79224671502322
572,0.7899134904542907
576,0.7876063959012229
580,0.7853249795702589
584,0.7830688000077641
588,0.7808374258103926
592,0.7786304353447365
596,0.7764474164761026
600,0.7742879663060822
604,0.772151690918596
608,0.7700382051341002
612,0.7679471322716599
616,0.7658781039186042
620,0.7638307597074893
624,0.7618047471001098
628,0.7597997211783009
632,0.7578153444412945
636,0.7558512866093933
640,0.7539072244337416
644,0.7519828415119755
648,0.7500778281095495
652,0.7481918809865371
656,0.746324703229719
660,0.7444760040897714
664,0.7426454988233823
668,0.7408329085401213
672,0.7390379600539063
676,0.7372603857389038
680,0.7354999233897153
684,0.7337563160857044
688,0.7320293120593255
692,0.7303186645683171
696,0.7286241317716318
700,0.7269454766089797
704,0.725282466683863
708,0.7236348741499868
712,0.7220024756009361
716,0.7203850519630094
720,0.7187823883911091
724,0.7171942741675839
728,0.7156205026039346
732,0.7140608709452828
736,0.7125151802775205
740,0.7109832354370486
744,0.7094648449230282
748,0.7079598208120572
752,0.7064679786752018
756,0.7049891374973053
760,0.7035231195985018
764,0.70206975055787
768,0.7006288591391538
772,0.6992002772184915
776,0.6977838397140882
780,0.6963793845177723
784,0.6949867524283767
788,0.6936057870868925
792,0.6922363349133361
796,0.6908782450452823
800,0.6895313692780104
804,0.6881955620062143
808,0.6868706801672327
812,0.6855565831857475
816,0.6842531329199167
820,0.6829601936088887
824,0.6816776318216627
828,0.680405316407257
832,0.6791431184461403
836,0.6778909112028966
840,0.6766485700800833
844,0.675415972573247
848,0.6741929982270677
852,0.6729795285925952
856,0.6717754471855476
860,0.6705806394456421
864,0.6693949926969267
868,0.6682183961090878
872,0.6670507406597028
876,0.6658919190974113
880,0.6647418259059823
884,0.6636003572692482
888,0.6624674110368838
892,0.6613428866910079
896,0.6602266853135801
900,0.6591187095545764
904,0.658018863600919
908,0.65692705314614
912,0.65584318536076
916,0.6547671688633604
920,0.653698913692333
924,0.6526383312782864
928,0.6515853344170927
932,0.6505398372435571
936,0.6495017552056942
940,0.6484710050395934
944,0.6474475047448592
948,0.6464311735606116
952,0.6454219319420292
956,0.644419701537425
960,0.6434244051658362
964,0.6424359667951183
968,0.6414543115205287
972,0.6404793655437878
976,0.6395110561526048
980,0.6385493117006553
984,0.6375940615880027
988,0.6366452362419474
992,0.635702767098296
996,0.6347665865830399
1000,0.6338366280944296
1004,0.6329128259854401
1008,0.6319951155466131
1012,0.6310834329892675
1016,0.6301777154290723
1020,0.6292779008699667
1024,0.6283839281884259
1028,0.6274957371180576
1032,0.6266132682345269
1036,0.6257364629407954
1040,0.6248652634526736
1044,0.6239996127846721
1048,0.6231394547361512
1052,0.6222847338777548
1056,0.621435395538128
1060,0.6205913857909063
1064,0.6197526514419749
1068,0.6189191400169869
1072,0.6180907997491377
1076,0.6172675795671877
1080,0.6164494290837287
1084,0.6156362985836862
1088,0.6148281390130547
1092,0.6140249019678599
1096,0.6132265396833386
1100,0.612433005023339
1104,0.6116442514699281
1108,0.6108602331132069
1112,0.6100809046413277
1116,0.6093062213307043
1120,0.6085361390364196
1124,0.6077706141828165
1128,0.6070096037542745
1132,0.6062530652861645
1136,0.6055009568559812
1140,0.6047532370746421
1144,0.6040098650779603
1148,0.6032708005182752
1152,0.6025360035562463
1156,0.6018054348528034
1160,0.601079055561249
1164,0.6003568273195105
1168,0.5996387122425393
1172,0.5989246729148527
1176,0.5982146723832151
1180,0.5975086741494577
1184,0.5968066421634309
1188,0.5961085408160876
1192,0.5954143349326959
1196,0.594723989766177
1200,0.5940374709905639
1204,0.5933547446945834
1208,0.5926757773753532
1212,0.5920005359321945
1216,0.5913289876605585
1220,0.5906611002460621
1224,0.5899968417586302
1228,0.5893361806467468
1232,0.5886790857318063
1236,0.588025526202568
1240,0.5873754716097094
1244,0.5867288918604759
1248,0.5860857572134253
1252,0.5854460382732675
1256,0.5848097059857924
1260,0.5841767316328894
1264,0.5835470868276535
1268,0.5829207435095765
1272,0.5822976739398222
1276,0.5816778506965862
1280,0.5810612466705324
1284,0.580447835060311
1288,0.579837589368153
1292,0.5792304833955408
1296,0.578626491238953
1300,0.5780255872856811
1304,0.5774277462097192
1308,0.5768329429677211
1312,0.5762411527950293
1316,0.5756523512017678
1320,0.5750665139690035
1324,0.5744836171449694
1328,0.5739036370413537
1332,0.573326550229649
1336,0.5727523335375636
1340,0.5721809640454918
1344,0.571612419083043
1348,0.5710466762256275
1352,0.5704837132910995
1356,0.5699235083364543
1360,0.5693660396545812
1364,0.5688112857710672
1368,0.568259225441055
1372,0.5677098376461501
1376,0.5671631015913801
1380,0.5666189967022005
1384,0.5660775026215523
1388,0.5655385992069634
1392,0.5650022665276981
1396,0.5644684848619531
1400,0.563937234694096
1404,0.5634084967119489
1408,0.5628822518041161
1412,0.562358481057352
1416,0.5618371657539714
1420,0.561318287369302
1424,0.5608018275691737
1428,0.5602877682074507
1432,0.5597760913235987
1436,0.5592667791402935
1440,0.5587598140610635
1444,0.5582551786679705
1448,0.5577528557193263
1452,0.5572528281474439
1456,0.5567550790564229
1460,0.5562595917199703
1464,0.5557663495792526
1468,0.5552753362407824
1472,0.5547865354743365
1476,0.5542999312109047
1480,0.5538155075406713
1484,0.5533332487110254
1488,0.5528531391246024
1492,0.5523751633373543
1496,0.5518993060566486
1500,0.5514255521393965
1504,0.5509538865902077
1508,0.5504842945595737
1512,0.5500167613420781
1516,0.5495512723746322
1520,0.5490878132347375
1524,0.5486263696387735
1528,0.548166927440311
1532,0.5477094726284496
1536,0.5472539913261791
1540,0.5468004697887661
1544,0.5463488944021625
1548,0.5458992516814383
1552,0.5454515282692363
1556,0.5450057109342488
1560,0.5445617865697177
1564,0.5441197421919542
1568,0.5436795649388808
1572,0.5432412420685943
1576,0.5428047609579483
1580,0.5423701091011569
1584,0.5419372741084172
1588,0.5415062437045521
1592,0.5410770057276716
1596,0.5406495481278537
1600,0.540223858965843
1604,0.5397999264117677
1608,0.5393777387438748
1612,0.5389572843472835
1616,0.5385385517127539
1620,0.5381215294354752
1624,0.5377062062138693
1628,0.537292570848411
1632,0.5368806122404645
1636,0.5364703193911367
1640,0.5360616814001445
1644,0.5356546874647002
1648,0.5352493268784084
1652,0.534845589030182
1656,0.5344434634031697
1660,0.5340429395737
1664,0.5336440072102383
1668,0.5332466560723588
1672,0.5328508760097297
1676,0.5324566569611129
1680,0.5320639889533751
1684,0.5316728621005155
1688,0.5312832666027024
1692,0.530895192745326
1696,0.5305086308980619
1700,0.5301235715139474
1704,0.5297400051284706
1708,0.5293579223586707
1712,0.5289773139022503
1716,0.5285981705366999
1720,0.528220483118433
1724,0.5278442425819335
1728,0.5274694399389133
1732,0.5270960662774808
1736,0.5267241127613222
1740,0.5263535706288897
1744,0.5259844311926035
1748,0.5256166858380632
1752,0.5252503260232676
1756,0.5248853432778481
1760,0.524521729202307
1764,0.5241594754672709
1768,0.5237985738127491
1772,0.5234390160474046
1776,0.5230807940478319
1780,0.5227238997578464
1784,0.5223683251877805
1788,0.5220140624137898
1792,0.5216611035771681
1796,0.5213094408836704
1800,0.5209590666028451
1804,0.5206099730673733
1808,0.5202621526724182
1812,0.5199155978749808
1816,0.5195703011932646
1820,0.5192262552060483
1824,0.5188834525520654
1828,0.5185418859293919
1832,0.5182015480948425
1836,0.5178624318633719
1840,0.5175245301074863
1844,0.5171878357566597
1848,0.5168523417967588
1852,0.5165180412694739
1856,0.5161849272717577
1860,0.5158529929552704
1864,0.5155222315258314
1868,0.5151926362428776
1872,0.5148642004189286
1876,0.5145369174190585
1880,0.5142107806603734
1884,0.5138857836114947
1888,0.5135619197920509
1892,0.5132391827721727
1896,0.5129175661719956
1900,0.5125970636611683
1904,0.512277668958367
1908,0.5119593758308142
1912,0.5116421780938054
1916,0.5113260696102396
1920,0.511011044290156
1924,0.5106970960902756
1928,0.5103842190135497
1932,0.5100724071087114
1936,0.5097616544698342
1940,0.5094519552358953
1944,0.5091433035903427
1948,0.50883569376067
1952,0.5085291200179924
1956,0.5082235766766321
1960,0.5079190580937039
1964,0.5076155586687092
1968,0.5073130728431328
1972,0.5070115951000442
1976,0.506711119963705
1980,0.5064116419991789
1984,0.5061131558119474
1988,0.5058156560475299
1992,0.5055191373911068
1996,0.5052235945671485
